name,x,y
LOCKb2014b_000228,322.075,321.466
LOCKb2014b_000228,49.9505,274.7675
LOCKb2014b_000229,593.9875,297.9555
LOCKb2014b_000229,538.884,184.798
LOCKb2014b_000229,187.781,607.854
LOCKb2014b_000229,722.1395,598.2075
LOCKb2014b_000229,313.856,390.383
LOCKb2014b_000229,208.04,590.608
LOCKb2014b_000232,555.727,182.963
LOCKb2014b_000232,492.486,202.908
LOCKb2014b_000232,857.023,212.085
LOCKb2014b_000232,57.703,271.409
LOCKb2014b_000232,200.927,589.254
LOCKb2014b_000233,991.548,212.5
LOCKb2014b_000233,170.553,601.396
LOCKb2014b_000233,201.2785,598.7825
LOCKb2014b_000233,976.064,217.6085
LOCKb2014b_000237,169.057,592.777
LOCKb2014b_000247,958.711,205.644
LOCKb2014b_000247,535.467,184.334
LOCKb2014b_000247,308.8135,313.1095
LOCKb2014b_000248,956.6775,209.7915
LOCKb2014b_000248,769.6155,157.974
LOCKb2014b_000248,534.649,177.613
LOCKb2014b_000248,546.305,187.254
LOCKb2014b_000248,39.743,276.793
LOCKb2014b_000249,169.315,599.845
LOCKb2014b_000249,49.487,273.993
LOCKb2014b_000249,536.548,177.6615
LOCKb2014b_000250,834.634,212.617
LOCKb2014b_000250,727.297,239.2405
LOCKb2014b_000250,958.797,206.65
LOCKb2014b_000250,468.5115,201.2
LOCKb2014b_000250,45.953,273.971
LOCKb2014b_000250,26.1305,270.259
LOCKb2014b_000250,310.8825,390.9175
LOCKb2014b_000250,182.142,598.804
LOCKb2014b_000250,208.3225,596.5035
LOCKb2014b_000251,765.5465,167.92
LOCKb2014b_000251,472.595,207.597
LOCKb2014b_000251,835.795,214.588
LOCKb2014b_000251,310.6115,315.187
LOCKb2014b_000251,439.2065,589.5825
LOCKb2014b_000251,196.2855,607.2025
LOCKb2014b_000251,538.637,181.281
LOCKb2014b_000251,174.235,598.563
LOCKb2014b_000252,845.913,212.553
LOCKb2014b_000252,177.118,596.749
LOCKb2014b_000252,29.35,272.4215
LOCKb2014b_000252,201.437,601.117
LOCKb2014b_000254,544.3315,183.633
LOCKb2014b_000254,774.5795,168.5135
LOCKb2014b_000254,307.4135,384.221
