"name","red_mean","red_sd","red_skew","red_kurtosis","green_mean","green_sd","green_skew","green_kurtosis","blue_mean","blue_sd","blue_skew","blue_kurtosis"
"SALIb2014a_000606.JPG",0.279044687358382,0.110832096087515,0.767731571561733,9.04061343075132,0.279742324430179,0.111049141217414,0.80988787504475,9.13046080085619,0.279045871659821,0.110830911486319,0.767561566583901,9.04149719623431
"SALIb2014a_000607.JPG",0.277242240407108,0.109867338661943,0.78630169435417,9.32508435138115,0.277939780241523,0.110098624088095,0.82993650581759,9.41890436623761,0.27724353067236,0.109865825941678,0.786142112598228,9.32607895211842
"SALIb2014a_000608.JPG",0.421284240523195,0.180335807148809,0.421991858331529,4.59366214215195,0.431212162192351,0.172080873694259,0.415677194821425,5.05883671551273,0.382923225951351,0.164651269965017,0.907901622860837,6.2743527731106
"SALIb2014a_000609.JPG",0.439055488935483,0.172104586488787,0.478399522114493,5.05185181709574,0.455854231391857,0.170410115438006,0.387224483810814,5.17926963682455,0.415802870856391,0.168673691571048,0.718778232101937,5.5875672780309
"SALIb2014a_000610.JPG",0.448745904560962,0.178227739799616,0.470384914800611,4.7217858457051,0.463439786823746,0.178522198649421,0.379215173159113,4.62482218617499,0.42338525859359,0.177754538128478,0.656464703615991,4.81744180304648
"SALIb2014a_000611.JPG",0.411556831060671,0.170937146462361,0.680775306952957,5.21336121259654,0.441029288098703,0.180636362826164,0.514373803544018,4.49705137975213,0.416960941888148,0.183152070572194,0.653875758523818,4.44912169838783
"SALIb2014a_000612.JPG",0.420960397658005,0.17061987346509,0.602229945473184,5.19025999760362,0.447125892389834,0.179388181522707,0.455483873033131,4.53110153294128,0.420401345047296,0.182502475129778,0.637614860582819,4.5009966482184
"SALIb2014a_000613.JPG",0.452097244512022,0.170221137601538,0.342938118694665,5.2666536250724,0.478437523436702,0.179736962435419,0.203680897407896,4.60848086556835,0.449641206529406,0.184382985931845,0.43826094215839,4.41887483926392
"SALIb2014a_000614.JPG",0.416419251136531,0.159387287460824,0.60663375148293,6.37680106579364,0.443433548422421,0.167950108095857,0.393236764544408,5.4124654495118,0.417210810792212,0.172848926946883,0.597972095203288,5.13499251905059
"SALIb2014a_000615.JPG",0.412803416781955,0.16971695490081,0.580756096009443,5.09965313509685,0.43922764771904,0.179116398723587,0.455470718717867,4.49067267618588,0.413368433285383,0.18371774234147,0.658078295667195,4.45646167468354
"SALIb2014a_000616.JPG",0.411810963449915,0.164246899782043,0.439013088323506,5.09120769993888,0.435862615996716,0.174438243137172,0.351055916322098,4.48444948272747,0.408093489852607,0.179184849113874,0.572860016900145,4.40497565428015
"SALIb2014a_000617.JPG",0.414379430284687,0.155520324412846,0.364787668693774,5.63620967929845,0.438623576694065,0.168742097471697,0.348218472833627,4.9800863890691,0.407159896302068,0.174545260699011,0.627922919520227,4.81316999880424
"SALIb2014a_000618.JPG",0.425378097584045,0.161560595674658,0.123010446259202,4.59732187355646,0.44693447561825,0.175508210340939,0.185745225520119,4.18612538107889,0.414611823886048,0.181088663531448,0.464694137204369,4.07365913802578
"SALIb2014a_000619.JPG",0.376893953560225,0.136731611773722,0.129459577676311,5.64821049741348,0.403429117389754,0.153456544076508,0.283097849790864,5.03108290335562,0.376297576754701,0.161311964107578,0.630594904546093,4.93582139583522
"SALIb2014a_000620.JPG",0.375090332280577,0.140261730649883,0.133697019443348,5.24506949635821,0.404322676565133,0.15730969777997,0.250298174160595,4.60076542160821,0.382905306847267,0.166254035328203,0.583558136731829,4.55487405165585
"SALIb2014a_000621 (1).JPG",0.378987772324506,0.132189841858165,0.102931021156957,6.51486043068862,0.405695634729722,0.146714273940907,0.146048921629004,5.30247436042061,0.376079589245366,0.152949381483537,0.508992879421918,4.90330204753887
"SALIb2014a_000621.JPG",0.378987772324506,0.132189841858165,0.102931021156957,6.51486043068862,0.405695634729722,0.146714273940907,0.146048921629004,5.30247436042061,0.376079589245366,0.152949381483537,0.508992879421918,4.90330204753887
"SALIb2014a_000622.JPG",0.407357659682729,0.134710696640936,-0.0767574859024021,6.96164935745565,0.44040667589973,0.150002882310546,-0.0375394446200646,5.72944886850057,0.413454105651457,0.15732325105211,0.305821234681001,5.04275170875001
"SALIb2014a_000623.JPG",0.405191758099725,0.14130756016319,0.146133469777167,6.42750599831309,0.44730259265775,0.15971702168135,0.121259003255436,5.29911826419506,0.430964593326344,0.169193831000548,0.36309072857504,4.82829261677246
"SALIb2014a_000624.JPG",0.371904373168945,0.138180410085504,0.393443461352737,6.60801159334128,0.414336622150895,0.156476769330918,0.262201370873371,5.12232112392847,0.398707166684219,0.164800152570008,0.417690019124418,4.60294077932192
"SALIb2014a_000625.JPG",0.413923399432812,0.156375869861989,0.472322536099517,6.03466904541706,0.465403500725241,0.17554736686975,0.253839992658323,4.75384930839786,0.453533885681551,0.184938038166997,0.393376253636967,4.36703918888953
"SALIb2014a_000626.JPG",0.385304585625144,0.117187306912237,-0.430944876895549,8.40928674331971,0.458195137821771,0.137797956558791,-0.582327434071789,7.17655113751134,0.472214268703087,0.150538536335234,-0.411743366064698,6.28994349574275
"SALIb2014a_000627.JPG",0.388225746154785,0.10125511786467,-1.23219448334487,13.4879548153278,0.460299857145821,0.115281545055915,-1.76186976700233,11.9337841873774,0.473554172391206,0.122212653294689,-1.69941120021727,10.6842845724085
"SALIb2014a_000628.JPG",0.385929238562491,0.0981876350354619,-1.49904002232423,14.7606476814845,0.475501161463121,0.113520392247538,-2.3788881045246,13.4442000808122,0.50219231649162,0.12192464825359,-2.42449832772364,12.4109848802619
"SALIb2014a_000629.JPG",0.381686901267058,0.0924065874976939,-1.69206164385284,18.3682634733655,0.468084294188256,0.105029613580777,-2.85991250020658,17.2990218478651,0.486468881095936,0.111478453907763,-2.86317470492221,15.7766036506505
"SALIb2014a_000630.JPG",0.374174626668294,0.104336438363312,-0.574452603024697,12.2101850257261,0.453849172903821,0.124463535140794,-0.898841985384997,9.63717426935265,0.461947231666715,0.133102304023997,-0.674549513178278,8.52733109039957
"SALIb2014a_000631.JPG",0.372429273019429,0.120598978413579,-0.0529699944159369,7.72089899368878,0.454478550580592,0.146455534270895,-0.305129698518206,5.78859331547052,0.470096028396507,0.161838413430452,-0.151997316677735,4.83074386143524
